Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
  195            44           8438          195
  196            45           8483          196
  197            45           8528          197
  198            45           8573          198
  199            46           8619          199
  200            46           8665          200
  201            46           8711          201
  202            46           8757          202
  203            36           8793          203
  204            97           8890          204
  205            24           8914          205
  206            24           8938          206
  207            23           8961          207
  208            23           8984          208
  209            23           9007          209
  210            23           9030          210
  211            23           9053          211
  212            23           9076          212
  213            19           9095          213
  214             2           9097          214
  215             2           9099          215
  216            82           9181          216
  217             2           9183          217
  218             2           9185          218
  219             2           9187          219
  220             2           9189          220
  221             2           9191          221
  222             2           9193          222
  223             2           9195          223
  224             2           9197          224
  225             2           9199          225
  226             2           9201          226
  227             2           9203          227
  228            44           9247          228
  229            45           9292          229
  230            45           9337          230
  231            45           9382          231
  232            46           9428          232
  233            46           9474          233
  234            46           9520          234
  235            46           9566          235
  236            36           9602          236
  237            85           9687          237
  238            24           9711          238
  239            23           9734          239
  240            23           9757          240
  241            23           9780          241
  242            23           9803          242
  243            23           9826          243
  244            23           9849          244
  245            23           9872          245
  246            19           9891          246
  247             2           9893          247
  248             2           9895          248
  249            80           9975          249
  250             2           9977          250
  251             2           9979          251
  252             2           9981          252
  253             2           9983          253
  254             2           9985          254
  255             2           9987          255
  256             2           9989          256
  257             2           9991          257
  258             2           9993          258
  259             2           9995          259
  260             2           9997          260
  261            44          10041          261
  262            45          10086          262
  263            45          10131          263
  264            45          10176          264
  265            46          10222          265
  266            46          10268          266
  267            46          10314          267
  268            46          10360          268
  269            36          10396          269
  270            36          10432          270
  271             2          10434          271
  272             2          10436          272
  273             2          10438          273
  274             2          10440          274
  275             2          10442          275
  276             2          10444          276
  277             2          10446          277
  278             2          10448          278
  279            84          10532          279
  280             2          10534          280
  281             2          10536          281
  282            78          10614          282
  283             2          10616          283
  284             2          10618          284
  285             2          10620          285
  286             2          10622          286
  287             2          10624          287
  288             2          10626          288
  289             2          10628          289
  290             2          10630          290
  291             2          10632          291
  292             2          10634          292
  293             2          10636          293
  294             2          10638          294
  295             2          10640          295
  296             2          10642          296
  297             2          10644          297
  298             2          10646          298
  299             2          10648          299
  300             2          10650          300
  301             2          10652          301
  302             2          10654          302

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                          72          1566

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------

Bitmap                     Compressed  Original    Compression
-----------------------    ----------  ----------  ------------

Font Name                  Bytes       Characters
-----------------------    --------    -----------
Arial Bold                   3248         !&'.02?ABCEFGHLMNOPSTVWYabcdefhiklmnoprstuvwxy
